Abbott SA/NV,,http://www.abbott.com,Rue du Bosquet 2,B-1348 Louvain-la-Neuve
ABN-Amro Bank,,http://www.abnamro.com,,
Adidas,,http://www.adidas.com,,
Ageas,,http://www.ageas.com,,
Agilent Technologies,,http://www.agilent.com,"Pegasus Park, De Kleetlaan 12",B-1831 Diegem
Aisin Europe SA,,http://www.be.aisin-europe.com,Avenue de l’Industrie 21,B-1420 Braine-l’Alleud
Alfa Laval Benelux SA/NV,,http://www.alfalaval.be,Bazellaan 5,B-1140 Brussels
Alitalia,,http://www.alitalia.com,,
Amazon.Com,,http://www.amazon.com,,
Andlinger & Company cvba,,http://www.andlinger.be,Avenue Louise 326,B-1050 Brussels
Apple Inc.,,http://www.apple.com,Esplanade Heysel,B-1020 Brussels
Atos Worldwide,,http://www.atosworldline.com,,
Austrian Airlines Brussels,,http://www.austrian.com,"B.house, Brussels Airport bld 26, Ringbaan",B-1831 Diegem
Banco Bilbao Vizcaya Argentaria SA/NV,,http://www.bbva.be,Avenue des Arts 43,B-1040 Brussels
Bank of Tokyo-Mitsubishi Ltd.,,http://www.bk.mufg.jp,Boulevard Louis Schmidt 29,B-1040 Brussels
BBC - British Broadcasting Corporation,,http://www.bbc.co.uk,Avenue des Arts 56,B-1000 Brussels
Belfius (formerly Dexia),,http://www.dexia.com,Boulevard Pachéco 44,B-1000 Brussels
Belgacom SA,,http://www.belgacom.be,Boulevard du Roi Albert II 27,B-1030 Brussels
Besix Group,,http://www.besix.com,Avenue des Communautés 100,B-1200 Brussels
BioWanze S.A.,,http://www.biowanze.be,Avenue de Tervuren 182,B-1150 Brussels
Boehringer Ingelheim,,http://www.boehringer-ingelheim.be,Avenue Ariane 16,B-1200 Brussels
Bridgestone Europe N.V./S.A.,,http://www.bridgestone.eu,Kleine Klosterstraat 10,B-1932 Zaventem
British Energy,,http://www.british-energy.com,,
Brussels Airlines,,http://www.brusselsairlines.com,,
Bull SAS,,http://www.bull.com,Rue du Moulin à Papier 51,B-1160 Brussels
Cabot Corporation,,http://www.cabot-corp.com,Interleuvenlaan 15,B-3001 Leuven
Caixa Geral de Depósitos,,http://www.cgd.pt,Rue des Quatre Bras 6,B-1000 Brussels
Canfor Pulp and Paper,,http://www.canfor.com,Avenue de la Foresterie 2,B-1170 Brussels
Canon,,http://www.canon.be,Berkenlaan 3,B-1831 Diegem
Carlson Wagonlit Travel SA/NV,,http://www.carlsonwagonlit.be,Boulevard de la Woluwe 34,B-1200 Brussels
Chemviron Carbon,,http://www.chemvironcarbon.com,Zoning Industriel C,B-7181 Feluy
Cytec Industries Inc.,,http://www.cytec.com,Square Marie Curie 11,B-1070 Brussels
Delhaize Group,,http://www.delhaizegroup.com,,
DHB Bank - Demir Halk Bank (Nederland) N.V.,,http://www.dhbbank.com,Rue Royale 168,B-1000 Brussels
Dresser Europe,,http://www.dresser.com,Boulevard du Souverain 207 (box 2),B-1160 Brussels
DSV,,http://www.dsv.com/be,Vilvoordesteenweg 14,B-1000 Brussels
Dynamic Parcel Distribution,,http://www.dpd.com/be,Egide Walschaertsstraat 20,B-2800 Mechelen
Edeka EU-Liaison Office,,http://www.edeka.de,Avenue des Nervien 85,B-1040 Brussels
Electrabel,,http://www.electrabel.be,Boulevard Simon Bolivar 34,B-1000 Brussels
Electrawinds Eastern Europe,,http://www.electrawinds.be,John Cordierlaan 9,B-8400 Oostende
Eurojobsites Ltd.,,http://www.eurojobsites.com,Rue Belliard 205,B-1040 Brussels
European Life Insurance,,http://www.europeanlifeinsurance.be,Rond-Point Schuman 6 (box 5),B-1040 Brussels
Freudenberg Co. KG,,http://www.freudenberg.de,Rue de la Loi 57,B-1040 Brussels
"GE Betz, Inc.",,http://www.gewater.com,Interleuvenlaan 25,B-3001 Heverlee
Generali Group - Assicurazioni Generali S.p.A.,,http://www.generali.com,"Tour Louise, Avenue Louise 149",B-1050 Brussels
German Aerospace Center - Deutsches Zentrum für Luft- und Raumfahrt e.V.,,http://www.dlr.de,Rue du Trône 98,B-1050 Brussels
Globalfair.net,,http://www.globalfair.net,Kwikstraat 11 a,B-3078 Everberg
Goldman Sachs,,http://www.goldmansachs.com,,
"Gorenje gospodinjski aparati, d.d.",,http://www.gorenjegroup.com,Hoevestraat 25 (A1),B-1755 Gooik
Groupon Sprl.,,http://works.groupon.be,Boulevard Emile Jacqmain 135,B-1000 Brussels
Huntsman International LLC,,http://www.huntsman.com,Everslaan 45,B-3078 Everberg
HVB-Group,,http://www.hypovereinsbank.de,Avenue de Cotenbergh 89,B-1000 Brussels
International Post Corporation,,http://www.ipc.be,Avenue du Bourget 44,B-1130 Brussels
Janssen Pharmaceutica N.V.,,http://www.janssenpharmaceutica.be,Turnhoutseweg 30,B-2340 Beerse
Knauf Insulation Sprl,,http://www.knaufinsulation.com,Rue Francqui 1,B-1435 Mont-Saint-Guibert
Komatsu Europe International N.V.,,http://www.komatsu.eu,Mechelsesteenweg 586,B-1800 Vilvoorde
Lagardère Group,,http://www.lagardere.com,,
Lot Polish Airlines,,http://www.lot.com,,
Messe Frankfurt,,http://www.messefrankfurt.com,Avenue du Boulevard 21,B-1210 Brussels
Mizuho Corporate Bank,,http://www.mizuhocbk.com,Avenue Louise 480,B-1050 Brussels
"MWH Global, Inc.",,http://www.mwhglobal.com,Avenue Reine Astrid 92 (2nd floor),B-1310 La Hulpe
NCR Corp.,,http://www.ncr.com,Avenue Marcel Thiry 79,B-1200 Brussels
NIIT Technologies Ltd.,,http://www.niit-tech.com,Rond-Point Schuman 6,B-1040 Brussels
Nissan EU Representation Office,,http://www.nissan-zeroemission.com,Avenue des Arts 40,B-1040 Brussels
Northrop Grumman International Corp.,,http://www.northgrum.com,Avenue de Broqueville 12,B-1150 Brussels
Novitech A.S.,,http://www.novitech.sk,Rond-Point Schuman 6,B-1040 Brussels
Novus Europe,,http://www.novusint.com,Avenue Marcel Thiry 200,B-1200 Brussels
NV Bekaert SA,,http://www.bekaert.com,President Kennedypark 18,B-8500 Kortrijk
Océ-Belgium,,http://www.oce.be,Avenue Jules Bordet 32,B-1140 Brussels
Oxiteno Europe,,http://www.oxiteno.com.br,Avenue de Tervuren 273 (box 8),B-1150 Brussels
PDC Europe,,http://www.pdc-europe.com,Rue de l’Industrie 17,B-1400 Nivelles
"Pioneer Hi-Bred International, Du Pont",,http://www.pioneer.com,Avenue des Arts 44,B-1040 Brussels
Porsche AG,,http://www.porsche.com,"c/o EUTOP, Rue d´Arlon 15 (3rd floor)",B-1050 Brussels
Rag Beteiligungs-Ag,,http://www.rag.de,,
Raytheon International Inc. Europe,,http://www.raytheon.com,Avenue Ariane 5,B-1200 Brussels
Rewe,,http://www.rewe.de,,
Rhodia S.A.,,http://www.rhodia.com,Square de Meeûs 37,B-1000 Brussels
Rio Tinto plc,,http://www.riotinto.com,Avenue de Tervuren 212,B-1150 Brussels
SAP AG,,http://www.sap.com,,
Satellic Traffic Management GmbH (T-Systems),,http://www.satellic.com,Avenue des Arts 53,B-1000 Brussels
Schlumberger Limited,,http://www.slb.com,Rue de l'Industrie 4,B-1000 Brussels
Shanks Group plc,,http://www.shanks.be,Boulevard de l’Humanité 124,B-1190 Brussels
Sharp Corporation,,http://www.sharp-world.com,Hofveld 4,B-1702 Groot-Bijgaarden
Society for Worldwide Interbank Financial Telecommunication - SWIFT SCRL,,http://www.swift.com,Avenue Adèle 1,B-1310 La Hulpe
SPE-Luminus N.V.,,http://www.spe.be,Rue du Marquis 1,B-1000 Brussels
St. Jude Medical Inc.,,http://www.sjm.com,Avenue da Vinci 11,B-1935 Brussels
Subaru,,http://www.subaru.be,Leuvensesteenweg 555,B-1930 Zaventem
Sumika Chemical Analysis Service,,http://www.scas-eu.be,"MC-Square Brussels Airport Centre, Lambroekstraat 5 a",B-1831 Diegem
Sumitomo Mitsui Banking Cooperation,,http://www.smbc.co.jp,Rue Montoyer 51 (box 6),B-1000 Brussels
T-Systems Belgium SA,,http://www.t-systems.be,‘t Hofveld 8,B-1702 Groot-Bijgaarden
Telekomunikacja Polska - c/o Orange Groupe France Telecom,,http://www.tp.pl,Boulevard du Regent 45,B-1000 Brussels
Tenneco Europe,,http://www.tenneco.com,Avenue du Bourget 50,B-1130 Brussels
Teollisuuden Voima Oyj,,http://www.tvo.fi,Rue de la Presse 4,B-1000 Brussels
Time Warner,,http://www.timewarner.com,,
TNS opinion,,http://www.tns-opinion.com,Avenue Herrmann-Debroux 40,B-1160 Brussels
TÜV Rheinland,,http://www.eu.tuv.com,Rue Montoyer 47,B-1000 Brussels
TÜV SÜD AG,,http://www.tuev-sued.de,"c/o EUTOP, Rue d'Arlon 15 (3rd floor)",B-1050 Brussels
TYROLIT Schleifmittelwerke Swarovski K.G.,,http://www.tyrolit.com,Rue de la Bienvenue 17,B-1070 Brussels
Ucb,,http://www.ucb.com,,
